,dataset,n_clf,tree_max_depth,tree_min_entropy_diff,tree_min_node_size,svm_lambda,max_attr,mean_acc,std_acc,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_time,std_time
0,breast_cancer,2,10,0.01,40,0.05,15,0.7865486725663717,0.079968667997075,0.7069365960934885,0.13745305455954915,0.9174041072160461,0.0761426002027171,0.7600070168731261,0.1232188827898635,12.923921604156494,0.4756128396487075
0,breast_cancer,8,10,0.01,40,0.05,15,0.912920353982301,0.017189112272111836,0.9327419909545256,0.03395468549586689,0.9317069592805849,0.014208029015460725,0.9290433397704281,0.018650355746022914,51.90805041313171,0.7890916064485022
0,breast_cancer,14,10,0.01,40,0.05,15,0.9224070796460175,0.00822092934059882,0.951052599499175,0.017241639821915785,0.927453862840358,0.013553508342439569,0.9380700661860699,0.006952481043373742,90.77857209205628,1.1129814671674103
0,breast_cancer,20,10,0.01,40,0.05,15,0.9236814159292035,0.007679376589937957,0.9517557719157687,0.012124445522380466,0.930261066691267,0.011731451800065379,0.9396311081394011,0.006159176571609293,129.67409212112426,1.1623549929579406
0,ionosphere,2,10,0.01,40,0.05,17,0.8441142857142856,0.016264748409253904,0.8955436867157124,0.03003252566219116,0.8690809330430456,0.01960252889041117,0.879112812401859,0.01382859030741169,6.887162666320801,0.26951443542480813
0,ionosphere,8,10,0.01,40,0.05,17,0.8662857142857142,0.012067835475395939,0.9769318041203675,0.008102803588374136,0.8413963231968706,0.01364002894178748,0.9028890511096425,0.008298250871765023,28.280213928222658,1.0167244483981428
0,ionosphere,14,10,0.01,40,0.05,17,0.8655999999999999,0.009475381635736765,0.9804771934588519,0.006415145146743386,0.8379917442468592,0.009213472989953788,0.902930244856619,0.006252350356856496,51.012934350967406,0.6278419016804108
0,ionosphere,20,10,0.01,40,0.05,17,0.8643428571428572,0.01148898318798828,0.983588622741356,0.0060603686546063145,0.8355353493817452,0.012041421771960267,0.902428155236138,0.007832039854354501,72.80625957489013,1.0624864599879138
0,biodegrataion,2,10,0.01,40,0.05,20,0.7422938388625592,0.023286412396793032,0.35112762849463,0.10969800615317653,0.691124340152932,0.13123035829373675,0.4124703849467614,0.10259896662141951,23.73646285057068,0.6123126614758688
0,biodegrataion,8,10,0.01,40,0.05,20,0.8024644549763034,0.010572014023581953,0.5908459652579621,0.05770652471328285,0.7866642654342947,0.028403777591107834,0.656068856877542,0.035998814884294385,96.47348575592041,1.9380480721328703
